CUSIP,Offer date,Company name,Ticker,Founding,PERM,VC dummy,Rollup,Dual,Post-issue shares,Internet
82509810,19790912,SHOPSMITH,SHOP,1972,70440,0,.,0,.,0
84757110,19790927,SPECTRADYNE,SPDY,1971,72056,1,.,0,.,0
95106010,19791003,WESPERCORP,WP,1975,64127,1,.,0,.,0
45666810,19791004,INFORMATICS,IMAT,1971,64266,0,.,0,.,0
88484210,19791004,THOMPSON MEDICAL,TM,1954,62754,0,.,0,.,0
91926010,19791009,VALLEN,VALN,1947,80013,0,.,0,.,0
09061610,19791010,BIOMETRICS,,1978,18105,0,.,0,.,0
40502210,19791016,HAEMONETICS,HAEM,1971,40716,0,.,0,.,0
49271710,19791016,KEVEX,KEVX,1967,47555,0,.,0,.,0
09057520,19791017,BIO-RESPONSE,BIOR,1972,18025,1,.,0,.,0
84748020,19791120,SPECIALIZED SYSTEMS,SSII,1977,72040,0,.,0,.,0
53185110,19791129,LIFE INSTRUMENTS,LIFQC,1977,49462,0,.,0,.,0
30213310,19791129,THE EXPLORATION CO.,TXCO,1979,33815,0,.,0,.,0
00531310,19791205,ADAC LABS,ADAC,1970,10752,1,.,0,.,0
29200710,19791206,EMPIRE OF CAROLINA,EMP,1939,61540,0,.,0,.,0
87246410,19791206,TIE / COMMUNICATIONS,TIE,1971,61866,1,.,0,.,0
62873510,19791212,NBI,NBI,1973,63693,1,.,0,.,0
88550010,19791212,THOUSAND TRAILS,TRLS,1969,76102,1,.,0,.,0
41255210,19791213,HARKEN OIL & GAS,HOGI,1979,40970,0,.,0,.,0
89581810,19791218,TRIAD SYSTEMS,TRSC,1972,77228,0,.,0,.,0
09058510,19791219,BIOCHEM INTERNATIONAL,BIOC,1976,18060,0,.,0,.,0
62468310,19791220,MOXA ENERGY,MOXA,1979,55432,0,.,0,.,0
74724510,19800130,PYRO-MAGNETICS,PYRO,1969,64849,0,0,0,.,0
70285210,19800213,PASSPORT TRAVEL,PPTI,1975,61400,0,0,0,.,0
09368010,19800228,BLOCKER ENERGY,BLKR,1978,62519,0,0,0,.,0
03673210,19800304,ANTHEM ELECTRONICS,ANTM,1968,64397,0,0,0,.,0
12760410,19800311,CADO SYSTEMS,CADO,1973,20590,1,0,0,.,0
82727910,19800311,SILTEC,SLTC,1969,70667,1,0,0,.,0
25434910,19800313,DIMIS,DMIS,1974,30091,1,0,0,.,0
75040910,19800313,RADIOGRAPHIC,RDCX,1974,65489,0,0,0,.,0
37291010,19800430,GEOKINETICS,GEOK,1980,38790,0,0,0,.,0
29159310,19800508,EMPIRE AIRLINES,EAIR,1974,32425,0,0,0,.,0
21835610,19800520,CORCOM,CORC,1955,27239,1,0,0,.,0
80861910,19800520,SCI-TEX,SCIXF,1971,78361,1,.,0,.,0
40218L206,19800521,Gulf Canada Ltd,,1909,32491,0,0,0,.,0
91529410,19800521,UP-RIGHT,UPRI,1947,79696,0,0,0,.,0
65480010,19800529,NITRON,NITR,1976,78330,0,.,0,.,0
29410010,19800612,ENZO BIOCHEM,ENZO,1976,33209,0,0,0,.,0
